type,properties/age_pnsr_se_nts_dta_rgdn_pc_cvrge_100_jne_2020_ple_rcvng_pns,properties/yng_ple_agd_16_21_rcvng_unmplyt_bnft_jne_2020_to_yrs_yth_alwnce,properties/ple_rcvng_unmplyt_bnft_shrt_trm_jne_2017_pc_nwstr_alwnce_yth,properties/ple_rcvng_unmplyt_bnft_shrt_trm_jne_2017_nwstr_alwnce_yth_ls_6,properties/chldrn_lw_incme_wlfre_dpnt_fmls_se_nts_dta_rgdn_pc_cvrge_100__1,properties/age_pnsr_se_nts_dta_rgdn_pc_cvrge_100_jne_2020_prsn_agd_65_yrs,properties/chldrn_lw_incme_wlfre_dpnt_fmls_se_nts_dta_rgdn_pc_cvrge_100_jn,properties/chldrn_lw_incme_wlfre_dpnt_fmls_se_nts_dta_rgdn_pc_cvrge_100__0,properties/jbskr_unmplymnt_bnfcrs_jne_2020_prsns_agd_22_64_yrs,properties/dsblty_spprt_pnsnrs_jne_2020_pple_rcvng_pnsn,properties/seniors_health_card_holders_june_2020_persons_aged_65_years,properties/people_receiving_unemployment_benefit_june_2020_pc_an,properties/jbskr_unmplymnt_bnfcrs_jne_2020_pc_pple_rcvng_pymnt,properties/pple_rcvng_unmplymnt_bnft_jne_2020_prsns_agd_16_64_yrs,properties/dsblty_spprt_pnsnrs_jne_2020_prsns_agd_16_64_yrs,properties/pple_rcvng_unmplymnt_bnft_lng_trm_jne_2017_prsns_agd_16_64_yrs,properties/disability_support_pensioners_june_2020_pc,properties/health_care_card_holders_june_2020_persons_0_to_64_years,properties/pha_name,properties/yng_pple_agd_16_21_rcvng_unmplymnt_bnft_jne_2020_pc_yth_allwnce,properties/pnsnr_cncssn_crd_hldrs_jne_2020_prsns_agd_15_yrs,properties/seniors_health_card_holders_june_2020_pc,properties/fmle_sle_prnt_pnsnrs_jne_2020_fmls_agd_15_54_yrs,properties/pha_code,properties/people_receiving_unemployment_benefit_june_2020_an,properties/low_income_welfare_dependent_families_children_june_2017_total,properties/jbskr_unmplymnt_bnfcrs_jne_2020_pple_agd_22_64_rcvng_pymnt,properties/pensioner_concession_card_holders_june_2020_pc,properties/pple_rcvng_unmplymnt_bnft_shrt_trm_jne_2017_prsns_agd_16_64_yrs,properties/health_care_card_holders_june_2020_pc_health_care_card_holders,properties/seniors_health_card_holders_june_2020,properties/low_income_welfare_dependent_families_children_june_2017_with,properties/pensioner_concession_card_holders_june_2020,properties/lw_incme_wlfre_dpndnt_fmls_chldrn_jne_2017_pc_wth,properties/age_pnsnrs_se_nts_dta_rgrdng_pc_cvrge_100_jne_2020,properties/ple_rcvng_unmplyt_bnft_lng_trm_jne_2017_pc_nwstr_alwnce_yth,properties/female_sole_parent_pensioners_june_2020_pc,properties/ple_rcvng_unmplyt_bnft_lng_trm_jne_2017_nwstr_alwnce_yth_lngr_6,properties/yng_pple_agd_16_21_rcvng_unmplymnt_bnft_jne_2020_prsns_to_yrs,properties/fmle_sle_prnt_pnsnrs_jne_2020_fmls_rcvng_prntng_pymnt_sngle,properties/health_care_card_holders_june_2020_health_care_card_holders,id
Feature,870,51,0.504788825609817,75,6.62112380908786,2230.18328119973,158,2386.30185079965,15144.7862981836,441,2230.18328119973,6.48911793008369,6.60293239079863,16196.3461185925,16196.3461185925,14857.6981492004,2.72283635315595,18734.9727965124,Abbotsford/ Yarra - North,4.84993806440511,18734.9727965124,12.330825108332,7045.86816396657,20022,1051,4019,1000,8.92982348130997,14857.6981492004,9.10062703863329,275,102,1673,2.5379447623787,39.0102467063595,1.97877219639048,0.383203309679868,294,1051.55982040887,27,1705,phidu_income_support_pha_2017_20.342
Feature,5523,157,0.674818840112359,145,12.3521122051403,8350.13093241643,770,6233.75166297118,20479.0948749115,752,8350.13093241643,7.80827705095264,7.89097374601126,22706.6738081954,22706.6738081954,21487.2483370288,3.31180165951291,29564.120510611,Airport West/ Essendon Airport/ Keilor East,7.04801062957368,29564.120510611,10.3231914203116,9556.50710007138,20076,1773,9459,1616,25.9097847921798,21487.2483370288,10.6074523640047,862,460,7660,4.86309335024844,66.1426754227159,3.29032358592716,1.9044615160558,707,2227.578933284,182,3136,phidu_income_support_pha_2017_20.343
Feature,928,24,0.293002412961048,34,4.39146800501882,3201.92471645027,105,2391,11308.1014977547,211,3201.92471645027,4.80794189834638,5.03179070432804,12333.7596946409,12333.7596946409,11604,1.71075167040655,15140.0490962593,Albert Park,2.3399608244599,15140.0490962593,14.3351277949114,5376.59358836331,20015,593,3947,569,8.87711784456542,11604,6.42005844115892,459,73,1344,1.84950595388903,28.9825677422174,1.03412616339193,0.42778014782035,120,1025.65819688625,23,972,phidu_income_support_pha_2017_20.344
Feature,3212,95,0.778363406798487,75,24.5519364267379,5276.35559627303,663,2700.39799906768,8885.33705633475,720,5276.35559627303,11.6527552947127,11.8284764363632,9834.58393329506,9834.58393329506,9635.60200093232,7.32110280296083,12459.1336916224,Alexandra/ Euroa/ Nagambie/ Upper Yarra Valley,10.0079339006318,12459.1336916224,10.9924357715709,3496.56433840806,20222,1146,4409,1051,39.7138366315715,9635.60200093232,12.6011971527015,580,367,4948,8.32388296665911,60.875351203941,5.05417305481151,4.57592037539472,487,949.246876960312,160,1570,phidu_income_support_pha_2017_20.345
Feature,2143,159,0.526509123147305,80,13.9211182802575,3649.54266830557,805,5782.58142624666,14254.8989156526,643,3649.54266830557,6.36019510087055,6.35570974835303,16744.7693523463,16744.7693523463,15194.4185737533,3.84000511723921,23115.4140502943,Alfredton/ Buninyong/ Smythes Creek,6.38587444779399,23115.4140502943,11.4808905685307,6892.92161470585,20184,1065,5952,906,16.0542224851592,15194.4185737533,10.3697039334213,419,405,3711,6.80443548387097,58.7196861297408,2.93528836154623,3.22069526405711,446,2489.87043669371,222,2397,phidu_income_support_pha_2017_20.346
Feature,2623,86,0.564939985620318,147,7.97160884909963,4894.59045053757,495,6209.53698770492,25237.9829882078,773,4894.59045053757,7.40750573527682,7.70663804991383,27418.1360444684,27418.1360444684,26020.4630122951,2.81930178895568,33497.4824932733,Alphington - Fairfield/ Northcote,3.94467717544127,33497.4824932733,9.60243772690686,12762.1490003922,20003,2031,8109,1945,12.5382556759106,26020.4630122951,10.4694434893854,470,304,4200,3.74892095202861,53.5897748035674,2.59411217886881,0.540661294566293,675,2180.15305626067,69,3507,phidu_income_support_pha_2017_20.347
Feature,4348,122,1.31592302060601,150,25.3943096899871,6914.80626961378,883,3477.1569331068,10074.5322626954,1026,6914.80626961378,13.9663996082332,14.4622098774259,11305.705437994,11305.705437994,11398.8430668932,9.07506396329782,14715.7758487022,Alps - East/ Bruthen - Omeo/ Orbost/ Paynesville,9.90924773603925,14715.7758487022,8.77826473125332,4025.64715183039,20238,1579,5543,1457,45.7128463301055,11398.8430668932,15.7450074248334,607,480,6727,8.65957062962295,62.8795635115147,7.57971659869063,5.01782675881452,864,1231.17317529861,202,2317,phidu_income_support_pha_2017_20.348
Feature,2397,111,0.986373942429182,116,22.9148410818928,3915.67439643053,862,3761.75421387124,10359.768033047,671,3915.67439643053,9.34962024593601,9.51758762218155,11733.0968653709,11733.0968653709,11760.2457861288,5.71886525526259,15457.6624133323,Alps - West/ Maffra/ Rosedale,8.08255076187171,15457.6624133323,8.42766702718754,4256.2473433163,20247,1097,4767,986,26.4464308424415,11760.2457861288,11.8452580412208,330,452,4088,9.48185441577512,61.2155086792986,5.01690194856222,5.21586228649546,590,1373.32883232391,222,1831,phidu_income_support_pha_2017_20.349
Feature,1579,29,0.72324612523279,61,11.7704995518235,2775.13766572654,286,2429.80341438179,8076.89792742314,349,2775.13766572654,7.02923575379122,7.34192762281436,8848.7571307382,8848.7571307382,8434.19658561821,3.94405671715938,11447.8088137439,Altona,3.75716191184193,11447.8088137439,11.3507882470231,3613.70523148178,20151,622,3442,593,20.8773577449219,8434.19658561821,9.54767866744753,315,163,2390,4.7356188262638,56.8980782287286,3.26053581047569,1.93707000200724,275,771.859203315059,70,1093,phidu_income_support_pha_2017_20.350
Feature,2179,96,0.914533821400042,126,23.2073365206968,3223.89134209344,856,3688.48876404494,12420.5770603868,605,3223.89134209344,10.1814429495415,10.4020931855139,13632.6452633367,13632.6452633367,13777.5112359551,4.43787678996586,17178.7623581306,Altona Meadows,7.9203463770729,17178.7623581306,5.2731305729929,5465.45227807706,20152,1388,5250,1292,22.5743852738295,13777.5112359551,12.1429003819516,170,464,3878,8.83809523809524,67.5891265797149,4.6017019267272,3.05555682317212,634,1212.06820294996,167,2086,phidu_income_support_pha_2017_20.351
